Vanilla Cake,56,1,58,1,57,0.25,60,1,65,1,30,2,23,1,59,1
French Toast,30,1,59,1,61,0.5,23,0.25,1,4,,,,,,
Tacos,27,1,62,1,64,3,17,0.5,63,1,24,1,,,,
Banana Bread,7,3,60,0.25,58,1,57,0.25,65,1,39,1,59,1,56,1
Hummus,68,1,67,0.5,76,1,74,1,75,1,57,0.5,66,0.25,,
Chicken Fried Rice,67,0.5,28,1,19,1,21,3,30,3,3,4,57,0.25,66,0.25
Deviled Eggs,30,6,70,0.25,71,1,72,1,57,0.25,66,0.25,,,,
Guacamole,69,2,57,0.5,74,0.25,21,1,73,1,66,0.25,63,0.5,,
Straw-Ban Smoothie,7,1,10,3,23,1,,,,,,,,,,
Avocado Smoothie,7,2,69,3,23,1,,,,,,,,,,
